be pleased to 부정사,   ~하게되어 기쁘다
At one's(소유격) suggestion, ~의 제안에 따라
careless, 부주의한
for, ~위해서/~동안에 (전치사)
pleasure, 기쁨
out of order, 고장난
under, ~하에/~중
under construction, 공사중
close, 가까이에
closely, 면밀히/자세히/꼼꼼하게
hard, 힘들게/열심히 ex) study hard
hardly, 거의~않다 ex) hardly syudy
late, 늦게
lately, 최근에 (현재완료시제/ have pp)
near, 가까이에
nearly, 거의 (=almost)
nearly finished/completed/done, 거의끝난
high, 높게
highly, 매우 대단히
highly qualified, 매우 적격인
highly recommended, 매우 추천되는
highly respected, 매우 존경받는
meet, 만나다/ 충족시키다
argumentative, 논쟁적인/따시기 좋아하는 (사람)
arguable, 논증할 수 있는 (사람 x)
considerable, 상당한/중요한 (사람x) (+amout/expeirence)
considerate, 사려 깊은 (사람)
distinguished, 저명한 (사람)
distinguishable, 구별할 수 있는
economic, 경제의
economical, 절약하는/ 경제적인
reliable, 믿을 수 있는/신뢰할 수 있는 (명사 앞에)
reliant on, 의지하는/의존적인 (on이 자주 붙음)
responsible for, 책임이 있는
responsive to, ~에 대응하는
favorite, 아주 좋아하는 (여러개중 선택가능 할 때)
favorable, 유리한/호의적인/좋은 (+feedback/opinion/review/weather)
constructive, 건설적인
ideal, 이상적인
increase in, ~에 증가
noticeable, 눈에 띄는
participant, 참여자
adequate, 적당한
souvenir, 기념품
express, 표현하다
gratitude, 고마움
influential, 영향력 있는
reopening, 재개장
increasingly, 점점 더
factor, 요소
essential, 필수적인
the most, 최상급/최고 (형/부)
satis fied, 만족하는
desirable, 바람직한
characteristic, 특징
restored, 복원된
rely on,~의지하다
opinion, 의견
impression, 인상(사람얼굴의 뜻)
observed, 관잘하다
professional, 전문가/전문적인
professors, 교수
increased demand, 수요증가
주격보어를 받는동사, be / become (이다/되다) keep/remain/stay (유지하다) look/seem (보이다)
목적격 보어를 받는 동사, feep/find/consider/make
production, 생산
agreement, 동의
subscribers, 구독자(들s)
spend 돈/시간 동명사, ~을 소비하다
accountant, 회계사
arrange a meeting, 약속시간을 잡다/회의를 준비하다
consider, 고려하다
interest, 관심
compliance, 준수
claim, (소유권) 주장
securety, 보안
in compliance with, ~을 준수하다
dependence on, 의존
depend on, 의존하다
fill in,작성하다
figure, 수치
survey, 조사
strategy, 전략
admission, 입장
retirement, 은퇴
thanks to, ~덕분에
question about, ~에 관한 질문
available, 이용가능한(사물)/ 시간이 있는(사람)
